Date,Price,Open,High,Low,Volume,Change_Pct
2019-12-10,4506.93,4506.93,4506.93,4506.93,0,-0.59
2019-12-11,4512.39,4512.39,4512.39,4512.39,0,0.12
2019-12-12,4514.44,4514.44,4514.44,4514.44,0,0.05
2019-12-15,4498.49,4498.49,4498.49,4498.49,0,-0.35
2019-12-17,4419.82,4419.82,4419.82,4419.82,0,-1.75
2019-12-18,4417.95,4417.95,4417.95,4417.95,0,-0.04
2019-12-19,4456.83,4456.83,4456.83,4456.83,0,0.88
2019-12-22,4430.95,4430.95,4430.95,4430.95,0,-0.58
2019-12-23,4394.44,4394.44,4394.44,4394.44,0,-0.82
2019-12-24,4390.67,4390.67,4390.67,4390.67,0,-0.09
2019-12-26,4418.83,4418.83,4418.83,4418.83,0,0.64
2019-12-29,4433.94,4433.94,4433.94,4433.94,0,0.34
2019-12-30,4452.93,4452.93,4452.93,4452.93,0,0.43
2020-01-01,4453.29,4453.29,4453.29,4453.29,0,0.01
2020-01-02,4459.29,4453.29,4480.39,4453.29,0,0.13
2020-01-05,4400.14,4459.29,4465.04,4399.6,0,-1.33
2020-01-06,4331.95,4400.14,4414.44,4320.83,0,-1.55
2020-01-07,4281.43,4331.95,4348.33,4272.58,0,-1.17
2020-01-08,4228.36,4281.43,4317.66,4224.49,0,-1.24
2020-01-09,4197.39,4228.36,4235.49,4187.48,0,-0.73
2020-01-12,4212.44,4197.39,4241.73,4197.39,0,0.36
2020-01-13,4123.48,4212.44,4217.49,4111.61,0,-2.11
2020-01-14,4036.23,4123.48,4123.87,4009.7,0,-2.12
2020-01-15,4068.2,4036.23,4119.47,4036.23,0,0.79
2020-01-16,4149.82,4068.2,4161.75,4066.64,0,2.01
2020-01-19,4382.06,4149.82,4384.8,4149.82,0,5.6
2020-01-20,4436.79,4382.06,4467.52,4382.06,0,1.25
2020-01-21,4408.1,4434.24,4445.86,4380.76,0,-0.65
2020-01-22,4440.29,4408.1,4446.05,4407.28,0,0.73
2020-01-23,4513.89,4440.29,4519.84,4440.29,0,1.66
2020-01-26,4528.2,4513.89,4549.79,4503.79,0,0.32
2020-01-27,4493.01,4528.2,4531.45,4469.43,0,-0.78
2020-01-28,4510.77,4493.01,4515.37,4484.69,0,0.4
2020-01-29,4481.79,4510.77,4528.67,4478.33,0,-0.64
2020-01-30,4469.65,4481.79,4497.83,4457.77,0,-0.27
2020-02-02,4481.51,4469.65,4497.02,4469.07,0,0.27
2020-02-03,4506.87,4481.51,4511.44,4481.51,0,0.57
2020-02-04,4479.4,4506.87,4526.95,4473.74,0,-0.61
2020-02-05,4465.89,4479.4,4483.35,4443.74,0,-0.3
2020-02-06,4452.96,4465.89,4477.49,4447.55,0,-0.29
2020-02-09,4388.75,4452.96,4462.1,4384.36,0,-1.44
2020-02-10,4385.54,4388.75,4421.4,4374.67,0,-0.07
2020-02-11,4471.51,4385.54,4492.26,4385.54,0,1.96
2020-02-12,4480.83,4471.51,4506.71,4470.92,0,0.21
2020-02-13,4564.61,4480.83,4569.72,4480.83,0,1.87
2020-02-16,4734.15,4564.61,4742.71,4564.61,0,3.71
2020-02-17,4768.13,4734.15,4776.87,4705.12,0,0.72
2020-02-18,4740.4,4768.13,4826.57,4732.17,0,-0.58
2020-02-19,4758.0,4740.4,4777.98,4705.82,0,0.37
2020-02-20,4733.14,4758.0,4784.14,4729.31,0,-0.52
2020-02-23,4698.89,4698.89,4698.89,4698.89,0,-0.72
